Reference, Quantity, Value, Footprint,MPN,Link, Datasheet,Stock,Price (CHF),Total price (CHF),Note
J2 ,1,,Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,SM04B-GHS-TB(LF)(SN),https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_JST-Sales-America-SM04B-GHS-TB-LF-SN_C189895.html,https://datasheet.lcsc.com/lcsc/1810261120_JST-Sales-America-SM04B-GHS-TB-LF-SN_C189895.pdf,2305 (06/12/2021),"0,15","0,15",
R1 R2,2,2k,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,CR0603-FX-2001ELF,https://www.mouser.ch/ProductDetail/Bourns/CR0603-FX-2001ELF?qs=sGAEpiMZZMtJuH53xR2FXP4vmG%252BWd6cL,https://www.mouser.ch/datasheet/2/54/crxxxxx-1858361.pdf,247788 (18/12/2021),0.093,0.186,"Optional, for now only for VL53L0X which doesn't have internal pullups. Recommanded values for this sensor are 2k resistors"
