"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C2,C1,C4,C6,C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";6;"1uF";;;
2;"J4,J3,J2,J5";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";4;"B3B-XH-A(LF)(SN)";;;
3;"R1,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"DNP";;;
4;"U1";"VSSOP-10_3x3mm_P0.5mm";1;"ADS1115BQDGSRQ1";;;
5;"R6,R3,R4,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"100R";;;
6;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1uF";;;
7;"U2";"SOT-23-5";1;"TPS7A2030PDBVR";;;
8;"J1";"Hat_connector_hole";1;"Hat_connector_hole";;;
9;"J6";"PicoBlade-JST-GH-1x04_1.25mm_Vertical";1;"BM04B-GHS-TBT(LF)(SN)(N)";;;
