Ref,Val,Package,PosX,PosY,Rot,Side
"R8","1mR","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-32.720000,17.800000,0.000000,top
"R9","1mR","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-16.837064,17.760000,180.000000,top
"R11","260R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-9.332500,24.110000,0.000000,top
"R12","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-45.000000,40.610000,0.000000,top
"R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-4.260000,14.835000,-90.000000,top
"R16","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-38.310000,49.900000,180.000000,top
"R18","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-54.850001,44.660000,-90.000000,top
"R22","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-25.590000,46.310000,-90.000000,top
"R28","1mR","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-49.285000,17.670000,180.000000,top
"Rg1","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-47.170000,24.240000,180.000000,top
"Rg2","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-47.350000,21.830000,-90.000000,top
"Rg3","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-40.910000,21.850000,180.000000,top
"Rg4","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-24.992000,20.974000,-90.000000,top
"Rg5","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-20.370000,22.330000,0.000000,top
"Rg6","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-14.850000,23.150000,-90.000000,top
"SW1","MJTP1140ATR","MJTP1140A",-5.510000,37.885000,0.000000,top
"SW2","CL-SB-12C-02","CLSB12C02",-27.735000,54.860000,0.000000,top
"TH1","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-4.885000,16.685000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",-34.910000,47.920000,-90.000000,top
"U3","TSU6111ARSVR","RSV16_TEX",-31.035000,44.696100,90.000000,top
"U5","TCAN337G","SO-8_3.9x4.9mm_P1.27mm",-42.250000,46.460000,180.000000,top
"U6","AB37S","SO-4_4.4x4.3mm_P2.54mm",-50.100000,41.910000,180.000000,top
