Reference, Quantity, Value, Footprint,MPN,Link, Datasheet,Stock,Price (CHF),Total price (CHF)
C1 C2 C3 C4 C5 ,5,0.1uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C0603C104K4RACTU,https://www.mouser.ch/ProductDetail/KEMET/C0603C104K4RACTU?qs=sGAEpiMZZMukHu%252BjC5l7YQb%252B1waIw3qJf2lwtm9zlSE%3D,https://www.mouser.ch/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf,2736490 (07/12/2021),0.17,0.85
R1 R2 R3 R4 ,4,680,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,AC0603FR-7W680RL,https://www.mouser.ch/ProductDetail/YAGEO/AC0603FR-7W680RL?qs=sGAEpiMZZMsKEdP9slC0YeyB6XOdcbv13Tj2S6C2%252BVU%3D,https://www.mouser.ch/datasheet/2/447/Yageo_PYu_AC_51_RoHS_L_7_1714230-1874691.pdf,1877 (17/12/2021),0.13,0.52
U1 U2 U3 U4 ,4,,Package_SO:SO-6L_10x3.84mm_P1.27mm,"TLP2710(TP,E",https://eu.mouser.com/ProductDetail/Toshiba/TLP2710TPE?qs=byeeYqUIh0O0zYzi0kjk8Q%3D%3D,https://www.mouser.ch/datasheet/2/308/1/HCPL2631M_D-2314497.pdf,129 (24/02/2022),1.44,5.76
